DUY,162.881,59.9608,7372.5
2AK8,161.903,70.2925,7354.8
A61,162.667,60.3353,7351.62
ELI,162.271,64.615,7342.79
Z09,162.524,60.8733,7340
WBB,162.278,63.5161,7334.22
16A,162.441,60.9061,7330.97
CDB,162.726,55.2061,7321.6
MOS,162.057,64.6981,7319.87
AK75,161.926,65.9078,7316.06
SMK,162.11,63.49,7315.4
4A2,162.273,60.8667,7312.08
MDM,162.026,61.8642,7292.64
EEK,162.044,60.2136,7281.59
WNA,161.979,60.6903,7278.05
EHM,162.063,58.6464,7271.9
KVC,162.266,55.1164,7270.02
BET,161.838,60.7797,7263.17
AQH,161.845,59.755,7256.05
PKA,161.778,60.7028,7255.93
PTU,161.82,59.0114,7247.63
P16,162.067,5.8833,7244.81
GSZ,161.281,65.4022,7240.09
6AK1,161.714,58.9117,7235.15
BVK,161.149,65.9817,7230.61
9AK2,161.44,61.8989,7227.91
2C7,161.224,64.3711,7224.68
D76,161.022,66.8175,7224.14
KKA,161.154,64.9394,7221.91
GNU,161.577,59.1175,7221.55
KWT,161.444,60.7903,7219.5
Z13,161.423,60.9047,7218.06
AK02,161.062,65.54,7217.06
RSH,161.319,61.775,7213.57
AKI,161.231,60.9028,7196.77
UNK,160.799,63.8883,7173.43
TLT,160.969,61.0969,7169.34
IAN,160.437,66.9758,7160.74
OUL,161.16,56.0075,7153.2
AWI,159.995,70.6381,7146.94
AK03,159.86,70.6133,7131.82
8AK3,160.153,66.7661,7127.36
AK33,160.899,55.8014,7122.84
WLK,159.986,66.6,7107.34
KLG,160.341,61.5364,7103.22
ANV,160.191,62.6467,7095.56
TOG,160.397,59.0536,7090.13
1AK3,160.561,56.0061,7086.66
KGX,160.065,62.8944,7083.7
SDP,160.521,55.3136,7077.68
A63,160.275,59.0744,7076.77
ZNC,159.994,60.9806,7060.23
Z52,160.266,56.0367,7054.17
HCA,159.775,62.1883,7045.72
SHX,159.569,62.6922,7027.06
ANI,159.543,61.5817,7015.08
9A3,159.216,61.5792,6978.75
KAL,158.741,64.3189,6949.14
PEV,159.161,55.9067,6930.65
4AK8,158.739,61.5364,6925.56
MBA,158.902,58.9319,6923.41
BKH,159.785,22.0228,6921.1
PAK,159.603,21.8969,6901.16
5A8,158.618,59.2825,6894.54
4AK7,158.597,59.2808,6892.24
A79,158.775,56.255,6890.24
Z25,158.558,59.2631,6887.74
KKU,158.559,58.8111,6884.47
HI33,159.44,21.9424,6882.96
HI01,159.446,22.2092,6882.95
HI46,159.427,21.9658,6881.45
CLP,158.529,58.8336,6881.37
DLG,158.506,59.0447,6880.3
PTH,158.633,56.9592,6879.35
NUL,158.074,64.7294,6878.8
HI03,159.39,22.0413,6877.11
AFM,157.857,67.1064,6876.29
LIH,159.339,21.976,6871.61
KCL,158.534,56.3111,6863.87
ATK,157.436,70.4672,6862.02
CJX,158.135,61.8678,6861.3
FLT,157.989,62.4528,6849.95
AJC,158.373,56.3114,6846.02
KYU,157.731,64.8758,6842.03
AK21,157.777,59.1325,6800.18
SHG,157.162,66.8881,6797.3
BRW,156.766,71.2856,6796.17
A14,157.714,58.9064,6791.5
